(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '77' finished in '17' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '78'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '78' finished in '11' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '79'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '79' finished in '13' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '80'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '80' finished in '41' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '81'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '81' finished in '17' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '82'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '82' finished in '12' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '83'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '83' finished in '13' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '84'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '84' finished in '25' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '85'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '85' finished in '11' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '86'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '86' finished in '32' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '87'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '87' finished in '43' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '88'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '88' finished in '30' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '89'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '89' finished in '38' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '90'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '90' finished in '45' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '91'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '91' finished in '25' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '92'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '92' finished in '102' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '93'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '93' finished in '16' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '94'
